                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.206,                 2.1704,                 1.2704,                0.23289,                0.29502,                0.28761,                0.21607,                0.92517,                 2.0044,                 1.1558,              8.944e-05,              8.944e-05,              8.944e-05
                     34,                  1.183,                  2.059,                 1.2313,                0.24157,                0.29055,                0.29228,                0.21936,                 0.9569,                 1.9751,                 1.1438,              8.911e-05,              8.911e-05,              8.911e-05
                     35,                 1.2685,                 2.1213,                  1.273,                0.22878,                0.29415,                0.29127,                0.19801,                 1.1092,                  2.007,                 1.1927,              8.878e-05,              8.878e-05,              8.878e-05
                     36,                 1.2381,                 2.1225,                 1.2387,                0.22181,                0.31136,                0.29309,                0.21087,                 1.0031,                 1.9869,                 1.1496,              8.845e-05,              8.845e-05,              8.845e-05
                     37,                 1.0975,                 1.9909,                 1.1697,                0.47467,                0.30997,                0.28876,                0.22194,                0.90028,                 1.9654,                 1.1262,              8.812e-05,              8.812e-05,              8.812e-05
                     38,                 1.1303,                 1.9722,                 1.1978,                 0.7176,                0.30642,                0.29009,                0.21991,                0.90206,                 1.9407,                 1.1431,              8.779e-05,              8.779e-05,              8.779e-05
                     39,                 1.1245,                 1.9961,                 1.1816,                0.73172,                0.29739,                0.29755,                0.22175,                0.97611,                 1.9434,                 1.1345,              8.746e-05,              8.746e-05,              8.746e-05
                     40,                 1.0925,                 1.9272,                 1.1946,                0.46774,                0.31657,                0.29808,                0.19493,                 1.1919,                 2.0798,                 1.2192,              8.713e-05,              8.713e-05,              8.713e-05
                     41,                 1.1344,                 2.0194,                 1.1969,                 0.4565,                0.32301,                0.30167,                0.19993,                 1.1728,                  2.099,                 1.2116,               8.68e-05,               8.68e-05,               8.68e-05
                     42,                   1.11,                   1.93,                 1.1763,                0.74685,                 0.2897,                0.30842,                0.22551,                0.99556,                 2.0316,                 1.1377,              8.647e-05,              8.647e-05,              8.647e-05
                     43,                 1.1047,                 1.9312,                  1.211,                0.77874,                0.26969,                0.31512,                0.24043,                0.90611,                  1.924,                 1.1203,              8.614e-05,              8.614e-05,              8.614e-05
                     44,                 1.1025,                 1.9885,                 1.2034,                0.75953,                0.31017,                0.32056,                0.24398,                0.91058,                 1.8768,                 1.1272,              8.581e-05,              8.581e-05,              8.581e-05
                     45,                 1.0993,                 1.9599,                 1.1805,                 0.5099,                0.31839,                  0.321,                0.24702,                0.91146,                 1.8626,                 1.1172,              8.548e-05,              8.548e-05,              8.548e-05
                     46,                   1.11,                 1.9673,                 1.1943,                0.50675,                0.31849,                0.32408,                0.24447,                0.93434,                 1.8574,                 1.1257,              8.515e-05,              8.515e-05,              8.515e-05
                     47,                 1.0342,                  1.892,                 1.1557,                0.49985,                0.31233,                0.32497,                0.24416,                0.93337,                 1.8385,                 1.1235,              8.482e-05,              8.482e-05,              8.482e-05
                     48,                 1.0483,                 1.8967,                  1.156,                0.50449,                0.32253,                0.32891,                0.25013,                0.91909,                 1.8183,                 1.1122,              8.449e-05,              8.449e-05,              8.449e-05
                     49,                 1.0732,                 1.8736,                 1.1457,                0.76178,                0.32715,                0.33137,                0.24511,                 0.9608,                 1.8115,                 1.1183,              8.416e-05,              8.416e-05,              8.416e-05
                     50,                 1.1207,                 1.9242,                 1.1841,                0.76072,                0.31811,                0.33146,                0.23103,                 1.0636,                 1.8463,                 1.1575,              8.383e-05,              8.383e-05,              8.383e-05
                     51,                 1.1493,                 1.9471,                 1.2172,                0.78923,                0.28393,                0.33816,                0.25209,                0.94463,                  1.805,                 1.1098,               8.35e-05,               8.35e-05,               8.35e-05
                     52,                 1.0771,                 1.8776,                 1.1621,                0.80066,                0.28526,                0.34201,                0.25735,                0.91992,                 1.7815,                 1.0991,              8.317e-05,              8.317e-05,              8.317e-05
                     53,                 1.0524,                 1.9048,                 1.1719,                0.77125,                0.31221,                0.34457,                0.26234,                0.90715,                 1.7676,                 1.0931,              8.284e-05,              8.284e-05,              8.284e-05
                     54,                 1.0481,                 1.9481,                 1.1599,                 0.7786,                0.31138,                0.34331,                0.25403,                 0.9675,                 1.7729,                 1.1153,              8.251e-05,              8.251e-05,              8.251e-05
                     55,                 1.1064,                 1.9839,                 1.1972,                  0.777,                0.31358,                0.34722,                0.26346,                0.92402,                 1.7536,                 1.1037,              8.218e-05,              8.218e-05,              8.218e-05
                     56,                 1.0408,                 1.8435,                 1.1537,                 0.7759,                0.32354,                0.35366,                0.26732,                0.92288,                 1.7306,                  1.098,              8.185e-05,              8.185e-05,              8.185e-05
                     57,                0.96404,                 1.7988,                 1.1134,                 0.7885,                0.32104,                0.35626,                0.25427,                 1.0226,                 1.7384,                 1.1338,              8.152e-05,              8.152e-05,              8.152e-05
                     58,                 1.0629,                 1.8458,                 1.1667,                0.79834,                0.31276,                0.35872,                0.24849,                 1.0821,                  1.736,                 1.1599,              8.119e-05,              8.119e-05,              8.119e-05
                     59,                 1.0342,                 1.7354,                 1.1646,                0.81348,                0.31522,                0.36629,                0.27379,                 0.9587,                 1.7074,                 1.1033,              8.086e-05,              8.086e-05,              8.086e-05
                     60,                 1.0699,                 1.7686,                 1.1514,                0.80871,                0.32027,                0.37443,                0.28613,                0.91589,                 1.7114,                 1.0877,              8.053e-05,              8.053e-05,              8.053e-05
                     61,                 1.0795,                 1.7721,                 1.1808,                0.78965,                0.32926,                0.37454,                0.26574,                 1.0564,                 1.7619,                 1.1412,               8.02e-05,               8.02e-05,               8.02e-05
                     62,                 1.0788,                 1.7724,                 1.1751,                0.80974,                0.30772,                0.36914,                0.24527,                 1.1722,                 1.7947,                 1.1941,              7.987e-05,              7.987e-05,              7.987e-05
                     63,                 1.0422,                 1.7856,                 1.1539,                0.81594,                 0.3298,                0.38518,                0.28405,                0.99374,                 1.6998,                 1.1133,              7.954e-05,              7.954e-05,              7.954e-05
                     64,                 1.0737,                 1.7482,                 1.1616,                0.83292,                0.32347,                0.39672,                  0.307,                0.83777,                 1.6483,                  1.084,              7.921e-05,              7.921e-05,              7.921e-05
                     65,                 1.0898,                 1.7663,                 1.1772,                0.81875,                0.33238,                0.40227,                0.31503,                0.83334,                 1.6429,                 1.0772,              7.888e-05,              7.888e-05,              7.888e-05
                     66,                 1.0217,                 1.7446,                 1.1573,                0.25054,                0.47136,                0.40756,                0.30469,                0.97008,                 1.6458,                 1.1104,              7.855e-05,              7.855e-05,              7.855e-05
                     67,                 1.0606,                  1.821,                   1.16,                0.81439,                0.32675,                0.41343,                0.30105,                  1.011,                   1.64,                 1.1221,              7.822e-05,              7.822e-05,              7.822e-05
                     68,                 1.0599,                 1.8689,                  1.156,                0.31859,                0.48688,                0.42222,                0.32746,                 0.8635,                 1.6055,                 1.0645,              7.789e-05,              7.789e-05,              7.789e-05
                     69,                 1.0232,                  1.802,                 1.1404,                0.29686,                0.47872,                0.43008,                0.34367,                0.77975,                 1.5885,                  1.047,              7.756e-05,              7.756e-05,              7.756e-05
                     70,                 1.0883,                 1.7317,                 1.1727,                0.32569,                0.45984,                0.43793,                 0.3426,                0.79046,                  1.601,                 1.0558,              7.723e-05,              7.723e-05,              7.723e-05
                     71,                 1.0627,                 1.7328,                 1.1489,                0.33646,                0.46248,                 0.4436,                0.33246,                0.92703,                 1.6126,                 1.0813,               7.69e-05,               7.69e-05,               7.69e-05
